input,b,output
0,0,3
1,1,1
2,0,3
3,0,0
4,0,1
5,0,1
6,0,2
7,0,2
8,1,3
9,1,0
10,0,3
11,0,0
12,0,3
13,1,1
14,0,2
15,1,3
16,1,1
17,1,2
18,0,2
19,1,3
20,1,1
21,1,2
22,0,1
23,0,0
24,0,2
25,0,2
26,0,3
27,1,1
28,0,1
29,1,2
30,1,0
31,1,2
32,0,2
33,0,3
34,0,3
35,1,0
36,0,3
37,0,0
38,0,0
39,1,1
40,0,1
41,1,3
42,0,0
43,0,2
44,1,0
45,1,2
46,1,0
47,0,2
48,0,3
49,1,3
50,0,2
51,1,0
52,0,3
53,1,1
54,1,1
55,0,0
56,0,1
57,1,1
58,1,1
59,1,0
60,1,3
61,1,0
62,0,2
63,1,0
64,1,3
65,1,2
66,0,2
67,0,0
68,1,2
69,1,0
70,1,1
71,0,0
72,0,2
73,1,2
74,1,0
75,0,2
76,0,2
77,0,1
78,0,0
79,1,3
80,0,0
81,1,3
82,0,2
83,0,2
84,0,3
85,1,2
86,1,1
87,0,0
88,1,1
89,0,1
90,0,1
91,0,3
92,1,2
93,0,0
94,0,2
95,0,1
96,0,2
97,0,3
98,1,2
99,0,0
100,1,1
101,0,2
102,1,3
103,1,0
104,1,1
105,0,0
106,0,1
107,1,1
108,0,3
109,1,1
110,0,1
111,1,1
112,1,1
113,1,3
114,1,3
115,0,0
116,1,3
117,0,0
118,1,0
119,1,1
120,0,0
121,1,2
122,1,3
123,0,3
124,0,1
125,0,0
126,1,2
127,1,1
128,0,1
129,0,0
130,1,2
131,0,3
132,1,2
133,1,0
134,0,2
135,1,3
136,0,1
137,0,3
138,1,2
139,1,0
140,0,2
141,0,1
142,0,2
143,1,3
144,1,1
145,0,3
146,1,3
147,0,0
148,0,3
149,0,0
150,1,0
151,1,2
152,1,1
153,1,2
154,1,3
155,0,2
156,0,1
157,0,1
158,0,3
159,0,0
160,1,0
161,1,0
162,0,3
163,1,1
164,1,0
165,1,0
166,0,1
167,0,3
168,1,1
169,1,0
170,1,3
171,0,0
172,0,2
173,1,1
174,1,0
175,1,3
176,1,3
177,1,3
178,0,2
179,0,2
180,1,1
181,0,3
182,1,0
183,0,2
184,1,0
185,0,2
186,0,0
187,1,0
188,1,2
189,0,1
190,0,2
191,1,3
192,0,0
193,1,2
194,0,1
195,0,1
196,0,1
197,1,3
198,1,0
199,0,3
200,1,3
201,0,2
202,0,1
203,0,3
204,0,2
205,1,2
206,1,2
207,0,1
208,0,2
209,0,3
210,0,1
211,0,2
212,0,2
213,1,3
214,0,1
215,0,3
216,0,0
217,0,3
218,0,1
219,1,1
220,1,2
221,1,2
222,1,3
223,0,3
224,1,1
225,0,2
226,0,1
227,0,0
228,1,1
229,1,0
230,0,1
231,0,2
232,1,1
233,0,2
234,0,2
235,0,3
236,1,0
237,0,3
238,1,1
239,0,0
240,0,0
241,1,3
242,0,2
243,1,1
244,1,3
245,1,2
246,0,2
247,1,0
248,1,0
249,0,0
250,1,2
251,1,3
252,0,3
253,1,3
254,1,3
255,1,3
