input, output
00000000,14308038228736504543
00000001,7052327319498540259
00000002,12083725415175832574
00000010,8249088102092382619
00000011,6483452725501684714
00000012,12452267874943180084
00000020,13022070212214126955
00000021,3134810323975568782
00000022,13990603875282404994
00000100,2522807082229994844
00000101,9440649065494718703
00000102,222459851082994532
00000110,15222987920588349099
00000111,7673210024124138196
00000112,1294777693199840713
00000120,6213587339358927305
00000121,17556179454557910608
00000122,4531573988524557886
00000200,9398093868895493533
00000201,10371585042162865851
00000202,10282169663070950503
00000210,1827289337974033476
00000211,4007886399279154455
00000212,5730483691848846134
00000220,928975540843096088
00000221,8255440481596464164
00000222,1406301033779683769
00001000,7552232236417766067
00001001,10157959550051514843
00001002,7352551873229479366
00001010,12372011781621601333
00001011,2650386382859297157
00001012,11924306278631013939
00001020,13180226206327970378
00001021,5476346407048002810
00001022,7226675104543762757
00001100,18372588903955035692
00001101,12200096781638744682
00001102,9792039677505142238
00001110,9661182421452276624
00001111,7570767438564359337
00001112,5833397369786866300
00001120,17902028384373189111
00001121,7958524548450575409
00001122,12349152127954207465
00001200,11355980893624446531
00001201,18218425407554993043
00001202,13730726270198739957
00001210,11341088780343875924
00001211,8344518741329303457
00001212,15850511489711048856
00001220,11712405691634596188
00001221,9046556776515419449
00001222,4236748741631018674
00002000,1733609451150656984
00002001,15936893453451740405
00002002,1833845372002841180
00002010,16797254762278061286
00002011,10763521477893986532
00002012,17796853406564461930
00002020,938773357865335574
00002021,13270682558633166084
00002022,8519717760164877413
00002100,10846403733012548224
00002101,4419943771765988650
00002102,4909199300424860322
00002110,16055804641717983421
00002111,12412611624399491189
00002112,5318614875654344310
00002120,10857946685790779089
00002121,3404207753289737139
00002122,15792309930231766874
00002200,2266434838196739572
00002201,2646394435153129098
00002202,16177384646143055537
00002210,4581728015708990853
00002211,8182287372950165850
00002212,5594163990718508450
00002220,16671425905867731022
00002221,1289288593236397396
00002222,16000933741337786643
00010000,560192459644789311
00010001,15181920320874121568
00010002,5603407574486880542
00010010,10009444873913050178
00010011,3105229639116203000
00010012,1343552902634452582
00010020,5678711869637039436
00010021,9955838176247190295
00010022,12901043831345754476
00010100,8041422196091014841
00010101,15835146145752330903
