input, output
00000000,11267282802465990815
00000001,14425201951205071165
00000002,3245112807076183327
00000010,1306721446975394663
00000011,1649739013501836685
00000012,1060827998529072333
00000020,13095312074287873975
00000021,13217320893827105236
00000022,2957775333541660929
00000100,13573795167135912673
00000101,1811069247343804092
00000102,12979234225543517858
00000110,585950905436196843
00000111,8865656730315830977
00000112,3180944222564817925
00000120,1020459755417242103
00000121,7125600766270359439
00000122,12150446995515592628
00000200,8233360485262884964
00000201,18175080309805434067
00000202,14963595446683847376
00000210,11818752324533962494
00000211,7803495470382514863
00000212,2381686254088705123
00000220,7330741471061329624
00000221,6558210443714692740
00000222,17197779986650636614
00001000,13861910585189929738
00001001,14177452533877938529
00001002,171196289633303651
00001010,14062512010246734450
00001011,9861052197598475762
00001012,15118175618433859953
00001020,5768234405025274004
00001021,13010098557632120258
00001022,3848862318251810513
00001100,17670697816736301057
00001101,3707050262945376651
00001102,7644265686957551575
00001110,17623794609974611545
00001111,2194034824444327704
00001112,3951203946701159593
00001120,3682674012778050512
00001121,13247298841120238385
00001122,212879875367023960
00001200,6659191898258525059
00001201,16272432235349564838
00001202,14908066120368640861
00001210,10253989421448115093
00001211,10960997996241484559
00001212,10568782462642623215
00001220,13339731139269059963
00001221,5002691255296444079
00001222,3482480097665874725
00002000,10889552125485887439
00002001,18373576002492661953
00002002,6279855663334629183
00002010,13296236285787922709
00002011,8859796752046372718
00002012,1686715407801778276
00002020,15847581995335771158
00002021,13853880021086181626
00002022,18134814663842073222
00002100,17421011785348205845
00002101,16983874889493355878
00002102,10129746270924260585
00002110,10665444870830910030
00002111,13686690685741023813
00002112,15089127401167235195
00002120,8506070339882428154
00002121,10015574209607456682
00002122,9789058403815386902
00002200,1629039804148940041
00002201,2244002700006316124
00002202,9010547317010565352
00002210,7527798475209445165
00002211,12835803446823456346
00002212,1597675590399615497
00002220,1659049708997227610
00002221,18217211133383574659
00002222,9137144516044464015
00010000,17143004022606237119
00010001,2823129123251439944
00010002,17810211219993618053
00010010,15761628470425156084
00010011,4615867777311257288
00010012,16952164077055818971
00010020,3196613689341321994
00010021,1374137986412656782
00010022,13398187637124020134
00010100,12249644728487901919
00010101,696582725473044965
00010102,11294899606984316394
00010110,16304100037575032370
00010111,4357010967428292435
00010112,16440269321745864484
00010120,12245579752712418062
00010121,9102984782171078723
00010122,16785272655677156251
00010200,668612466126893580
00010201,2506875871627352730
00010202,6930488132138795148
00010210,4126377607134421594
00010211,9275702511822167694
00010212,18092668311100544758
00010220,2339397402360686687
00010221,12778900375929295859
00010222,1722549596740267896
00011000,1982473501372610330
00011001,270271607160696712
00011002,16821170422732341623
00011010,12899643271262000962
00011011,14893948790029800610
00011012,11917807467139827271
00011020,12863382933548151975
00011021,11498751416653909482
00011022,17815796093010362565
00011100,16878165839877572499
00011101,9974529590181835476
00011102,11762818704793689523
00011110,9420173731305453745
00011111,9485217013320281749
00011112,12731012624463213492
00011120,9337250502066599746
00011121,1406472305090374766
00011122,1933813688347031011
00011200,3359778443644722580
00011201,7520227017213007829
00011202,568463697680232081
00011210,8370081344423901400
00011211,10790596300940383600
00011212,14416195283433875097
00011220,4978511019118720395
00011221,3954587751991554723
00011222,14920459894973831675
00012000,17885025224058012514
00012001,4621698357413295618
00012002,11185935614687513609
00012010,6214543484501318165
00012011,9776713357158837900
00012012,11553051431598678302
00012020,13654254775172704928
