b,block,input,output
0,1,0,49
0,1,1,234
0,1,2,219
0,1,3,35
0,1,4,81
0,1,5,211
0,1,6,163
0,1,7,251
0,1,8,106
0,1,9,103
0,1,10,141
0,1,11,174
0,1,12,82
0,1,13,217
0,1,14,209
0,1,15,101
0,1,16,123
0,1,17,253
0,1,18,91
0,1,19,31
0,1,20,140
0,1,21,139
0,1,22,120
0,1,23,125
0,1,24,222
0,1,25,194
0,1,26,238
0,1,27,15
0,1,28,175
0,1,29,170
0,1,30,227
0,1,31,92
0,1,32,136
0,1,33,245
0,1,34,238
0,1,35,254
0,1,36,69
0,1,37,25
0,1,38,142
0,1,39,244
0,1,40,220
0,1,41,100
0,1,42,22
0,1,43,179
0,1,44,225
0,1,45,164
0,1,46,170
0,1,47,7
0,1,48,117
0,1,49,109
0,1,50,195
0,1,51,169
0,1,52,38
0,1,53,166
0,1,54,158
0,1,55,144
0,1,56,47
0,1,57,108
0,1,58,186
0,1,59,14
0,1,60,112
0,1,61,6
0,1,62,23
0,1,63,246
0,1,64,253
0,1,65,210
0,1,66,7
0,1,67,236
0,1,68,15
0,1,69,105
0,1,70,45
0,1,71,143
0,1,72,101
0,1,73,230
0,1,74,90
0,1,75,109
0,1,76,172
0,1,77,242
0,1,78,151
0,1,79,190
0,1,80,245
0,1,81,137
0,1,82,205
0,1,83,189
0,1,84,197
0,1,85,58
0,1,86,78
0,1,87,125
0,1,88,50
0,1,89,124
0,1,90,54
0,1,91,64
0,1,92,175
0,1,93,147
0,1,94,65
0,1,95,73
0,1,96,168
0,1,97,241
0,1,98,9
0,1,99,238
0,1,100,70
0,1,101,93
0,1,102,116
0,1,103,244
0,1,104,130
0,1,105,197
0,1,106,101
0,1,107,183
0,1,108,26
0,1,109,67
0,1,110,170
0,1,111,188
0,1,112,254
0,1,113,64
0,1,114,47
0,1,115,39
0,1,116,163
0,1,117,34
0,1,118,10
0,1,119,111
0,1,120,141
0,1,121,250
0,1,122,42
0,1,123,83
0,1,124,84
0,1,125,46
0,1,126,31
0,1,127,202
0,1,128,125
0,1,129,58
0,1,130,240
0,1,131,77
0,1,132,174
0,1,133,9
0,1,134,193
0,1,135,77
0,1,136,227
0,1,137,84
0,1,138,15
0,1,139,123
0,1,140,81
0,1,141,119
0,1,142,38
0,1,143,179
0,1,144,214
0,1,145,247
0,1,146,147
0,1,147,30
0,1,148,255
0,1,149,158
0,1,150,228
0,1,151,199
0,1,152,227
0,1,153,180
0,1,154,235
0,1,155,36
0,1,156,92
0,1,157,92
0,1,158,42
0,1,159,25
0,1,160,218
0,1,161,255
0,1,162,131
0,1,163,214
0,1,164,145
0,1,165,248
0,1,166,122
0,1,167,208
0,1,168,161
0,1,169,219
0,1,170,191
0,1,171,184
0,1,172,132
0,1,173,58
0,1,174,206
0,1,175,179
0,1,176,204
0,1,177,168
0,1,178,126
0,1,179,137
0,1,180,93
0,1,181,143
0,1,182,163
0,1,183,129
0,1,184,18
0,1,185,96
0,1,186,106
0,1,187,171
0,1,188,9
0,1,189,22
0,1,190,13
0,1,191,176
0,1,192,141
0,1,193,150
0,1,194,252
0,1,195,143
0,1,196,218
0,1,197,250
0,1,198,171
0,1,199,74
0,1,200,67
0,1,201,93
0,1,202,72
0,1,203,16
0,1,204,76
0,1,205,107
0,1,206,62
0,1,207,221
0,1,208,13
0,1,209,87
0,1,210,171
0,1,211,160
0,1,212,12
0,1,213,153
0,1,214,14
0,1,215,15
0,1,216,101
0,1,217,179
0,1,218,118
0,1,219,36
0,1,220,8
0,1,221,103
0,1,222,185
0,1,223,54
0,1,224,113
0,1,225,147
0,1,226,61
0,1,227,122
0,1,228,233
0,1,229,197
0,1,230,53
0,1,231,75
0,1,232,215
0,1,233,37
0,1,234,207
0,1,235,54
0,1,236,95
0,1,237,232
0,1,238,178
0,1,239,157
0,1,240,183
0,1,241,159
0,1,242,143
0,1,243,69
0,1,244,211
0,1,245,64
0,1,246,248
0,1,247,107
0,1,248,193
0,1,249,58
0,1,250,113
0,1,251,240
0,1,252,244
0,1,253,108
0,1,254,147
0,1,255,149
0,2,0,181
0,2,1,48
0,2,2,241
0,2,3,253
0,2,4,194
0,2,5,1
0,2,6,26
0,2,7,198
0,2,8,27
0,2,9,73
0,2,10,142
0,2,11,109
0,2,12,36
0,2,13,188
0,2,14,150
0,2,15,0
0,2,16,177
0,2,17,188
0,2,18,240
0,2,19,199
0,2,20,246
0,2,21,102
0,2,22,157
0,2,23,182
0,2,24,126
0,2,25,14
0,2,26,0
0,2,27,145
0,2,28,155
0,2,29,89
0,2,30,196
0,2,31,238
0,2,32,181
0,2,33,50
0,2,34,236
0,2,35,221
0,2,36,0
0,2,37,88
0,2,38,84
0,2,39,36
0,2,40,209
0,2,41,119
0,2,42,212
0,2,43,236
0,2,44,41
0,2,45,175
0,2,46,4
0,2,47,132
0,2,48,158
0,2,49,114
0,2,50,132
0,2,51,243
0,2,52,78
0,2,53,79
0,2,54,88
0,2,55,3
0,2,56,78
0,2,57,215
0,2,58,171
0,2,59,202
0,2,60,45
0,2,61,235
0,2,62,68
0,2,63,15
0,2,64,219
0,2,65,55
0,2,66,2
0,2,67,143
0,2,68,251
0,2,69,38
0,2,70,75
0,2,71,250
0,2,72,114
0,2,73,81
0,2,74,166
0,2,75,185
0,2,76,87
0,2,77,211
0,2,78,125
0,2,79,96
0,2,80,254
0,2,81,67
0,2,82,55
0,2,83,75
0,2,84,242
0,2,85,159
0,2,86,216
0,2,87,200
0,2,88,91
0,2,89,99
0,2,90,127
0,2,91,229
0,2,92,209
0,2,93,197
0,2,94,246
0,2,95,179
0,2,96,33
0,2,97,180
0,2,98,205
0,2,99,226
0,2,100,213
0,2,101,20
0,2,102,200
0,2,103,74
0,2,104,148
0,2,105,227
0,2,106,44
0,2,107,123
0,2,108,102
0,2,109,58
0,2,110,65
0,2,111,195
0,2,112,69
0,2,113,67
0,2,114,149
0,2,115,248
0,2,116,212
0,2,117,14
0,2,118,169
0,2,119,74
0,2,120,88
0,2,121,244
0,2,122,205
0,2,123,80
0,2,124,101
0,2,125,198
0,2,126,204
0,2,127,195
0,2,128,68
0,2,129,220
0,2,130,192
0,2,131,131
0,2,132,243
0,2,133,240
0,2,134,138
0,2,135,238
0,2,136,42
0,2,137,177
0,2,138,21
0,2,139,131
0,2,140,204
0,2,141,64
0,2,142,248
0,2,143,115
0,2,144,187
0,2,145,111
0,2,146,128
0,2,147,104
0,2,148,10
0,2,149,51
0,2,150,97
0,2,151,208
0,2,152,10
0,2,153,50
0,2,154,228
0,2,155,0
0,2,156,18
0,2,157,45
0,2,158,118
0,2,159,62
0,2,160,2
0,2,161,231
0,2,162,166
0,2,163,42
0,2,164,160
0,2,165,59
0,2,166,100
0,2,167,239
0,2,168,183
0,2,169,55
0,2,170,164
0,2,171,153
0,2,172,112
0,2,173,220
0,2,174,155
0,2,175,39
0,2,176,212
0,2,177,41
0,2,178,103
0,2,179,36
0,2,180,45
0,2,181,21
0,2,182,72
0,2,183,31
0,2,184,184
0,2,185,0
0,2,186,21
0,2,187,216
0,2,188,173
0,2,189,100
0,2,190,222
0,2,191,83
0,2,192,75
0,2,193,180
0,2,194,32
0,2,195,145
0,2,196,13
0,2,197,201
0,2,198,42
0,2,199,182
0,2,200,187
0,2,201,69
0,2,202,27
0,2,203,67
0,2,204,58
0,2,205,251
0,2,206,121
0,2,207,103
0,2,208,94
0,2,209,42
0,2,210,69
0,2,211,7
0,2,212,192
0,2,213,65
0,2,214,255
0,2,215,142
0,2,216,88
0,2,217,19
0,2,218,138
0,2,219,46
0,2,220,148
0,2,221,208
0,2,222,48
0,2,223,101
0,2,224,250
0,2,225,250
0,2,226,227
0,2,227,221
0,2,228,60
0,2,229,67
0,2,230,11
0,2,231,194
0,2,232,16
0,2,233,121
0,2,234,57
0,2,235,42
0,2,236,112
0,2,237,24
0,2,238,160
0,2,239,97
0,2,240,110
0,2,241,13
0,2,242,114
0,2,243,194
0,2,244,228
0,2,245,71
0,2,246,184
0,2,247,38
0,2,248,69
0,2,249,7
0,2,250,146
0,2,251,157
0,2,252,156
0,2,253,72
0,2,254,35
0,2,255,208
0,3,0,189
0,3,1,231
0,3,2,35
0,3,3,111
0,3,4,142
0,3,5,158
0,3,6,168
0,3,7,33
0,3,8,112
0,3,9,230
0,3,10,176
0,3,11,181
0,3,12,197
0,3,13,217
0,3,14,251
0,3,15,6
0,3,16,186
0,3,17,33
0,3,18,76
0,3,19,125
0,3,20,32
0,3,21,21
0,3,22,228
0,3,23,67
0,3,24,180
0,3,25,55
0,3,26,60
0,3,27,157
0,3,28,49
0,3,29,251
0,3,30,219
0,3,31,132
0,3,32,247
0,3,33,146
0,3,34,125
0,3,35,227
0,3,36,72
0,3,37,108
0,3,38,54
0,3,39,41
0,3,40,213
0,3,41,75
0,3,42,116
0,3,43,107
0,3,44,92
0,3,45,196
0,3,46,146
0,3,47,235
0,3,48,91
0,3,49,104
0,3,50,61
0,3,51,127
0,3,52,153
0,3,53,165
0,3,54,235
0,3,55,3
0,3,56,57
0,3,57,246
0,3,58,41
0,3,59,161
0,3,60,139
0,3,61,59
0,3,62,174
0,3,63,99
0,3,64,62
0,3,65,159
0,3,66,88
0,3,67,86
0,3,68,199
0,3,69,60
0,3,70,41
0,3,71,56
0,3,72,254
0,3,73,159
0,3,74,121
0,3,75,11
0,3,76,16
0,3,77,236
0,3,78,207
0,3,79,61
0,3,80,56
0,3,81,130
0,3,82,135
0,3,83,35
0,3,84,66
0,3,85,66
0,3,86,67
0,3,87,232
0,3,88,93
0,3,89,191
0,3,90,135
0,3,91,254
0,3,92,148
0,3,93,234
0,3,94,223
0,3,95,208
0,3,96,13
0,3,97,50
0,3,98,99
0,3,99,148
0,3,100,132
0,3,101,175
0,3,102,61
0,3,103,221
0,3,104,158
0,3,105,142
0,3,106,211
0,3,107,176
0,3,108,114
0,3,109,22
0,3,110,54
0,3,111,20
0,3,112,105
0,3,113,10
0,3,114,212
0,3,115,11
0,3,116,198
0,3,117,99
0,3,118,33
0,3,119,169
0,3,120,16
0,3,121,74
0,3,122,36
0,3,123,173
0,3,124,214
0,3,125,103
0,3,126,48
0,3,127,36
0,3,128,184
0,3,129,208
0,3,130,93
0,3,131,19
0,3,132,175
0,3,133,202
0,3,134,98
0,3,135,111
0,3,136,17
0,3,137,249
0,3,138,147
0,3,139,46
0,3,140,207
0,3,141,53
0,3,142,154
0,3,143,174
0,3,144,150
0,3,145,28
0,3,146,225
0,3,147,134
0,3,148,153
0,3,149,51
0,3,150,126
0,3,151,122
0,3,152,46
0,3,153,155
0,3,154,10
0,3,155,18
0,3,156,69
0,3,157,55
0,3,158,219
0,3,159,0
0,3,160,219
0,3,161,29
0,3,162,170
0,3,163,180
0,3,164,72
0,3,165,125
0,3,166,203
0,3,167,65
0,3,168,232
0,3,169,26
0,3,170,116
0,3,171,136
0,3,172,255
0,3,173,32
0,3,174,149
0,3,175,55
0,3,176,192
0,3,177,121
0,3,178,140
0,3,179,108
0,3,180,20
0,3,181,187
0,3,182,190
0,3,183,2
0,3,184,211
0,3,185,61
0,3,186,105
0,3,187,86
0,3,188,47
0,3,189,80
0,3,190,176
0,3,191,16
0,3,192,110
0,3,193,170
0,3,194,12
0,3,195,117
0,3,196,173
0,3,197,161
0,3,198,60
0,3,199,23
0,3,200,179
0,3,201,8
0,3,202,107
0,3,203,103
0,3,204,36
0,3,205,217
0,3,206,174
0,3,207,62
0,3,208,248
0,3,209,97
0,3,210,68
0,3,211,74
0,3,212,41
0,3,213,102
0,3,214,183
0,3,215,114
0,3,216,238
0,3,217,202
0,3,218,43
0,3,219,73
0,3,220,135
0,3,221,69
0,3,222,92
0,3,223,7
0,3,224,234
0,3,225,201
0,3,226,202
0,3,227,82
0,3,228,138
0,3,229,84
0,3,230,145
0,3,231,18
0,3,232,249
0,3,233,135
0,3,234,83
0,3,235,55
0,3,236,76
0,3,237,228
0,3,238,90
0,3,239,38
0,3,240,182
0,3,241,244
0,3,242,211
0,3,243,18
0,3,244,110
0,3,245,98
0,3,246,11
0,3,247,160
0,3,248,120
0,3,249,25
0,3,250,243
0,3,251,149
0,3,252,251
0,3,253,52
0,3,254,98
0,3,255,56
0,4,0,241
0,4,1,101
0,4,2,143
0,4,3,133
0,4,4,104
0,4,5,25
0,4,6,197
0,4,7,13
0,4,8,71
0,4,9,84
0,4,10,193
0,4,11,37
0,4,12,252
0,4,13,55
0,4,14,14
0,4,15,4
0,4,16,224
0,4,17,38
0,4,18,5
0,4,19,58
0,4,20,102
0,4,21,45
0,4,22,220
0,4,23,212
0,4,24,56
0,4,25,136
0,4,26,176
0,4,27,19
0,4,28,7
0,4,29,174
0,4,30,249
0,4,31,121
0,4,32,92
0,4,33,140
0,4,34,53
0,4,35,83
0,4,36,180
0,4,37,71
0,4,38,237
0,4,39,242
0,4,40,170
0,4,41,110
0,4,42,218
0,4,43,86
0,4,44,27
0,4,45,28
0,4,46,230
0,4,47,76
0,4,48,47
0,4,49,180
0,4,50,147
0,4,51,29
0,4,52,124
0,4,53,66
0,4,54,216
0,4,55,200
0,4,56,2
0,4,57,128
0,4,58,127
0,4,59,106
0,4,60,28
0,4,61,11
0,4,62,190
0,4,63,38
0,4,64,180
0,4,65,58
0,4,66,50
0,4,67,77
0,4,68,220
0,4,69,26
0,4,70,45
0,4,71,183
0,4,72,80
0,4,73,89
0,4,74,34
0,4,75,94
0,4,76,140
0,4,77,21
0,4,78,40
0,4,79,251
0,4,80,202
0,4,81,12
0,4,82,80
0,4,83,252
0,4,84,6
0,4,85,129
0,4,86,166
0,4,87,142
0,4,88,112
0,4,89,115
0,4,90,39
0,4,91,250
0,4,92,225
0,4,93,158
0,4,94,5
0,4,95,171
0,4,96,194
0,4,97,48
0,4,98,109
0,4,99,27
0,4,100,71
0,4,101,173
0,4,102,166
0,4,103,163
0,4,104,145
0,4,105,28
0,4,106,6
0,4,107,109
0,4,108,42
0,4,109,57
0,4,110,182
0,4,111,21
0,4,112,10
0,4,113,130
0,4,114,219
0,4,115,123
0,4,116,11
0,4,117,102
0,4,118,2
0,4,119,128
0,4,120,204
0,4,121,246
0,4,122,200
0,4,123,236
0,4,124,173
0,4,125,43
0,4,126,134
0,4,127,173
0,4,128,158
0,4,129,212
0,4,130,34
0,4,131,6
0,4,132,173
0,4,133,10
0,4,134,201
0,4,135,223
0,4,136,132
0,4,137,182
0,4,138,2
0,4,139,212
0,4,140,50
0,4,141,236
0,4,142,140
0,4,143,75
0,4,144,7
0,4,145,155
0,4,146,74
0,4,147,46
0,4,148,253
0,4,149,93
0,4,150,192
0,4,151,148
0,4,152,86
0,4,153,6
0,4,154,158
0,4,155,154
0,4,156,24
