input,b,output
0,198,206
1,255,206
2,243,34
3,164,215
4,211,14
5,85,66
6,24,125
7,146,253
8,59,17
9,108,101
10,43,181
11,35,47
12,210,62
13,88,48
14,87,49
15,7,181
16,139,105
17,162,166
18,252,87
19,247,181
20,214,173
21,2,229
22,43,113
23,209,0
24,20,67
25,171,148
26,135,160
27,87,176
28,142,254
29,79,24
30,198,121
31,146,137
32,123,34
33,195,213
34,215,156
35,90,224
36,53,58
37,143,149
38,152,148
39,207,243
40,108,151
41,22,16
42,152,4
43,23,158
44,174,22
45,142,199
46,162,112
47,73,246
48,180,201
49,123,128
50,190,176
51,193,238
52,118,62
53,75,212
54,199,90
55,46,195
56,242,94
57,164,56
58,89,207
59,1,247
60,161,94
61,71,193
62,102,141
63,160,241
64,96,209
65,60,167
66,171,4
67,173,159
68,0,215
69,13,112
70,65,176
71,13,111
72,124,224
73,146,208
74,160,213
75,123,134
76,128,129
77,133,220
78,100,218
79,127,255
80,197,205
81,80,40
82,58,108
83,33,144
84,228,175
85,91,38
86,31,27
87,4,167
88,179,109
89,154,185
90,182,243
91,159,145
92,112,183
93,227,224
94,2,173
95,89,42
96,176,169
97,166,198
98,231,101
99,37,174
100,245,230
101,37,229
102,236,252
103,198,186
104,137,225
105,252,48
106,79,216
107,16,161
108,94,113
109,30,212
110,246,82
111,4,208
112,35,93
113,163,176
114,19,56
115,186,77
116,120,180
117,20,70
118,3,167
119,208,169
120,44,106
121,217,78
122,198,116
123,73,100
124,37,102
125,157,37
126,27,10
127,210,200
128,88,18
129,134,243
130,156,196
131,187,139
132,167,232
133,80,215
134,160,176
135,32,168
136,86,95
137,85,120
138,72,3
139,159,172
140,104,152
141,188,247
142,33,125
143,76,213
144,242,233
145,166,252
146,245,79
147,240,73
148,52,95
149,117,35
150,219,89
151,141,222
152,41,116
153,47,252
154,113,144
155,134,79
156,71,168
157,180,26
158,26,166
159,174,191
160,227,229
161,150,230
162,251,251
163,197,84
164,106,83
165,195,172
166,157,239
167,181,252
168,122,89
169,183,133
170,95,182
171,99,86
172,6,183
173,140,15
174,162,72
175,146,33
176,245,11
177,140,46
178,205,76
179,144,78
180,126,28
181,69,20
182,63,15
183,126,122
184,122,36
185,40,56
186,152,187
187,175,177
188,227,78
189,254,71
190,245,225
191,8,165
192,17,82
193,140,98
194,82,177
195,147,24
196,37,219
197,219,79
198,172,56
199,172,139
200,143,29
201,5,39
202,18,255
203,255,197
204,221,187
205,204,134
206,13,52
207,148,108
208,8,149
209,228,226
210,243,183
211,123,203
212,216,88
213,38,33
214,136,80
215,62,160
216,238,52
217,41,19
218,42,31
219,191,78
220,102,221
221,45,76
222,211,185
223,96,105
224,92,206
225,121,80
226,45,168
227,161,108
228,197,200
229,122,93
230,132,183
231,78,36
232,135,111
233,190,157
234,130,32
235,1,24
236,70,63
237,126,145
238,10,100
239,169,101
240,16,203
241,229,226
242,239,182
243,2,126
244,94,34
245,108,140
246,180,9
247,92,161
248,190,138
249,192,23
250,40,84
251,128,123
252,37,73
253,145,196
254,73,213
255,42,32
